SKU,Product,Category,Region,Warehouse,Supplier,Inventory_Level,Reorder_Point,Safety_Stock,Supplier_Lead_Time_Days,Average_Monthly_Demand,Demand_Std_Dev,Max_Stock_Level,Inventory_Value,Velocity_Class,Inventory_Status,Stockout_Risk_Flag,Overstock_Flag
SKU-000A4C,"Eldon Spacemaker¨ Box, Quick-Snap Lid, Clear",Office Supplies,Ontario,WH-Central,Meridian Retail Co.,10,4,3,8,0.79,3.08,22,37.03,Slow-moving,Maintain,No,No
SKU-000A4C,"Eldon Spacemaker¨ Box, Quick-Snap Lid, Clear",Office Supplies,Prarie,WH-Central,NorthBridge Supply,0,5,4,12,0.79,3.08,23,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-000A4C,"Eldon Spacemaker¨ Box, Quick-Snap Lid, Clear",Office Supplies,West,WH-West,Meridian Retail Co.,0,5,4,18,0.62,2.74,23,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-0080F9,Newell 333,Office Supplies,Ontario,WH-Central,Meridian Retail Co.,0,4,3,12,0.62,2.74,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-0080F9,Newell 333,Office Supplies,West,WH-West,PrimeSource Direct,31,5,4,18,0.77,3.04,23,85.28,Slow-moving,Excess Inventory,No,Yes
SKU-00BF5D,"Master Caster Door Stop, Brown",Furniture,Ontario,WH-Central,Atlas Wholesale,3,4,3,5,0.38,2.12,22,15.5,Slow-moving,Restock Recommended,Yes,No
SKU-00BF5D,"Master Caster Door Stop, Brown",Furniture,Prarie,WH-Central,PrimeSource Direct,7,5,4,15,0.83,3.16,23,37.32,Slow-moving,Maintain,No,No
SKU-00BF5D,"Master Caster Door Stop, Brown",Furniture,West,WH-West,PrimeSource Direct,1,6,5,8,2.04,4.95,24,4.98,Slow-moving,Restock Recommended,Yes,No
SKU-00BF5D,"Master Caster Door Stop, Brown",Furniture,Yukon,WH-North,Atlas Wholesale,0,4,3,16,0.25,1.73,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-00E9B5,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Northwest Territories,WH-West,NorthBridge Supply,17,4,3,8,0.67,2.83,22,2473.01,Slow-moving,Maintain,No,No
SKU-00E9B5,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Ontario,WH-Central,PrimeSource Direct,33,5,4,14,0.83,3.16,23,4707.67,Slow-moving,Excess Inventory,No,Yes
SKU-00E9B5,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,West,WH-West,Meridian Retail Co.,0,4,3,11,0.27,1.8,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-01589A,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Ontario,WH-Central,NorthBridge Supply,7,4,3,14,0.17,1.41,22,1038.63,Slow-moving,Maintain,No,No
