Order_ID,Order_Date,Month,Quarter,Product,SKU,Category,Subcategory,Region,Customer_Segment,Sales,Profit,Quantity,Discount,Unit_Price,Shipping_Cost,Profit_Margin
3,2010-10-13,2010-10-01,2010 Q4,"Eldon Base for stackable storage shelf, platinum",SKU-FF020B,Office Supplies,Storage & Organization,Nunavut,Small Business,261.54,-213.25,6,0.04,38.94,35.0,-0.8154
293,2012-10-01,2012-10-01,2012 Q4,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",SKU-09C070,Office Supplies,Appliances,Nunavut,Consumer,10123.02,457.81,49,0.07,208.16,68.02,0.0452
293,2012-10-01,2012-10-01,2012 Q4,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",SKU-5627D1,Office Supplies,Binders And Binder Accessories,Nunavut,Consumer,244.57,46.71,27,0.01,8.69,2.99,0.191
483,2011-07-10,2011-07-01,2011 Q3,R380,SKU-65F899,Technology,Telephones And Communication,Nunavut,Corporate,4965.76,1198.97,30,0.08,195.99,3.99,0.2414
515,2010-08-28,2010-08-01,2010 Q3,Holmes HEPA Air Purifier,SKU-9E1EEF,Office Supplies,Appliances,Nunavut,Consumer,394.27,30.94,19,0.08,21.78,5.94,0.0785
515,2010-08-28,2010-08-01,2010 Q3,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,SKU-B3298A,Furniture,Office Furnishings,Nunavut,Consumer,146.69,4.43,21,0.05,6.64,4.95,0.0302
613,2011-06-17,2011-06-01,2011 Q2,"Angle-D Binders with Locking Rings, Label Holders",SKU-75DF45,Office Supplies,Binders And Binder Accessories,Nunavut,Corporate,93.54,-54.04,12,0.03,7.3,7.72,-0.5777
613,2011-06-17,2011-06-01,2011 Q2,"SAFCO Mobile Desk Side File, Wire Frame",SKU-C8D4DD,Office Supplies,Storage & Organization,Nunavut,Corporate,905.08,127.7,22,0.09,42.76,6.22,0.1411
643,2011-03-24,2011-03-01,2011 Q1,"SAFCO Commercial Wire Shelving, Black",SKU-807006,Office Supplies,Storage & Organization,Nunavut,Corporate,2781.82,-695.26,21,0.07,138.14,35.0,-0.2499
678,2010-02-26,2010-02-01,2010 Q1,Xerox 198,SKU-D2CBB5,Office Supplies,Paper,Nunavut,Home Office,228.41,-226.36,44,0.07,4.98,8.33,-0.991
807,2010-11-23,2010-11-01,2010 Q4,Xerox 1980,SKU-7DDA66,Office Supplies,Paper,Nunavut,Home Office,196.85,-166.85,45,0.01,4.28,6.18,-0.8476
807,2010-11-23,2010-11-01,2010 Q4,Advantus Map Pennant Flags and Round Head Tacks,SKU-9DEB8C,Office Supplies,Rubber Bands,Nunavut,Home Office,124.56,-14.33,32,0.04,3.95,2.0,-0.115
868,2012-06-08,2012-06-01,2012 Q2,Holmes HEPA Air Purifier,SKU-9E1EEF,Office Supplies,Appliances,Nunavut,Home Office,716.84,134.72,32,0.0,21.78,5.94,0.1879
868,2012-06-08,2012-06-01,2012 Q2,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",SKU-90D1A3,Technology,Computer Peripherals,Nunavut,Home Office,1474.33,114.46,31,0.04,47.98,3.61,0.0776
933,2012-08-04,2012-08-01,2012 Q3,"Wilson Jones 1"" Hanging DublLock¨ Ring Binders",SKU-E56569,Office Supplies,Binders And Binder Accessories,Nunavut,Small Business,80.61,-4.72,15,0.02,5.28,2.99,-0.0586
995,2011-05-30,2011-05-01,2011 Q2,Ultra Commercial Grade Dual Valve Door Closer,SKU-B272D6,Furniture,Office Furnishings,Nunavut,Home Office,1815.49,782.91,46,0.03,39.89,3.04,0.4312
998,2009-11-25,2009-11-01,2009 Q4,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",SKU-A70DA6,Office Supplies,Envelopes,Nunavut,Small Business,248.26,93.8,16,0.07,15.74,1.39,0.3778
1154,2012-02-14,2012-02-01,2012 Q1,Hon 4-Shelf Metal Bookcases,SKU-ADACB1,Furniture,Bookcases,Nunavut,Home Office,4462.23,440.72,44,0.04,100.98,26.22,0.0988
1154,2012-02-14,2012-02-01,2012 Q1,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",SKU-38ADD8,Furniture,Tables,Nunavut,Home Office,663.78,-481.04,11,0.25,71.37,69.0,-0.7247
1344,2012-04-15,2012-04-01,2012 Q2,g520,SKU-19FE78,Technology,Telephones And Communication,Nunavut,Corporate,834.9,-11.68,15,0.06,65.99,5.26,-0.014
1344,2012-04-15,2012-04-01,2012 Q2,LX 788,SKU-B1C867,Technology,Telephones And Communication,Nunavut,Corporate,2480.92,313.58,18,0.01,155.99,8.99,0.1264
1412,2010-03-12,2010-03-01,2010 Q1,Avery 52,SKU-98A6AC,Office Supplies,Labels,Nunavut,Consumer,59.03,26.92,13,0.1,3.69,0.5,0.456
1412,2010-03-12,2010-03-01,2010 Q1,Plymouth Boxed Rubber Bands by Plymouth,SKU-4EA4BA,Office Supplies,Rubber Bands,Nunavut,Consumer,97.48,-5.77,21,0.05,4.71,0.7,-0.0592
1539,2011-03-09,2011-03-01,2011 Q1,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",SKU-EEAA07,Office Supplies,Binders And Binder Accessories,Nunavut,Corporate,511.83,-172.88,33,0.1,15.99,13.18,-0.3378
1539,2011-03-09,2011-03-01,2011 Q1,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",SKU-4A178E,Technology,Computer Peripherals,Nunavut,Corporate,184.99,-144.55,38,0.05,4.89,4.93,-0.7814
1540,2012-08-04,2012-08-01,2012 Q3,Newell 335,SKU-04F58E,Office Supplies,Pens & Art Supplies,Nunavut,Home Office,80.9,5.76,30,0.09,2.88,0.7,0.0712
1702,2011-05-06,2011-05-01,2011 Q2,SANFORD Liquid Accentª Tank-Style Highlighters,SKU-1FF983,Office Supplies,Pens & Art Supplies,Nunavut,Home Office,67.24,4.9,23,0.06,2.84,0.93,0.0729
1761,2010-12-23,2010-12-01,2010 Q4,Canon PC940 Copier,SKU-D7F0B4,Technology,Copiers And Fax,Nunavut,Corporate,12028.23,-547.61,25,0.01,449.99,49.0,-0.0455
1792,2010-11-08,2010-11-01,2010 Q4,"Tenex Personal Project File with Scoop Front Design, Black",SKU-037850,Office Supplies,Storage & Organization,Nunavut,Consumer,370.48,-5.45,28,0.04,13.48,4.51,-0.0147
2275,2012-10-21,2012-10-01,2012 Q4,Col-Erase¨ Pencils with Erasers,SKU-6EF012,Office Supplies,Pens & Art Supplies,Nunavut,Small Business,278.0,41.67,49,0.08,6.08,1.17,0.1499
2277,2011-01-01,2011-01-01,2011 Q1,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",SKU-C476F9,Technology,Computer Peripherals,Nunavut,Home Office,66.54,-46.03,10,0.01,5.98,4.38,-0.6918
2277,2011-01-01,2011-01-01,2011 Q1,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",SKU-468066,Office Supplies,Paper,Nunavut,Home Office,845.32,33.67,21,0.06,40.99,19.99,0.0398
2532,2011-10-10,2011-10-01,2011 Q4,Self-Adhesive Address Labels for Typewriters by Universal,SKU-56B561,Office Supplies,Labels,Nunavut,Corporate,282.07,140.01,39,0.03,7.31,0.49,0.4964
2532,2011-10-10,2011-10-01,2011 Q4,Accessory37,SKU-E30276,Technology,Telephones And Communication,Nunavut,Corporate,426.04,-78.96,24,0.01,20.99,2.5,-0.1853
